[Fecha],[Titulo],[Texto],[Snippet],[URL]
8 Ene 2010,El Universal - - Afecta lluvia tránsito en vías primarias,,"8 Ene 2010 ... Ciudad de México | Viernes 08 de enero de 2010 Notimex | El ... Reportes de la 
Secretaría de Seguridad Pública del Distrito Federal (SSP-DF) y ... Hasta el 
momento no se reportan inundaciones, pero sí encharcamientos de ...",http://www.eluniversal.com.mx/notas/650431.html
5 Feb 2010,DF - Baja probabilidad de lluvia en Valle de México - El Universal,,"5 Feb 2010 ... Video Graves inundaciones se registran en Iztapalapa. ... Protección Civil del DF 
informó que para este viernes la probabilidad de lluvia será ...",http://www.eluniversal.com.mx/notas/656537.html
10 Feb 2010,El Universal - - Chocan PAN y PRD por dinero para emergencias,,"10 Feb 2010 ... La ciudad de México sólo cuenta con un presupuesto en la materia por ... la 
Asamblea Legislativa del Distrito Federal (ALDF), por el presupuesto que se ... a 
los afectados por las inundaciones que se registraron por la lluvia ...",http://www.eluniversal.com.mx/notas/657678.html
3 Mar 2010,"DF - Emisor, la solución contra inundaciones - El Universal",,"3 Mar 2010 ... Autoridades federales, del DF y del estado de México construyen el Túnel 
Emisor Oriente (TEO) del drenaje profundo que —dicen— será la ...",http://www.eluniversal.com.mx/ciudad/100584.html
23 Jul 2010,El Universal - - Llueve de forma generalizada en DF,,"23 Jul 2010 ... El Gobierno del Distrito Federal se declarÃ³ en alerta permanente ante la 
emergencia ... de deslaves e inundaciones Fernando RamÃrez/ EL UNIVERSAL 
... de lluvias del DF del Sistema de Aguas de la Ciudad de México, ...",http://www.eluniversal.com.mx/notas/697303.html
1 Jul 2011,El Universal - - GDF vigilará 56 eventos masivos ante lluvias,,"1 Jul 2011 ... Autoridades del Gobierno del Distrito Federal piden a la ciudadanía no ... que a 
raíz de la última inundación la delegación prometió ayudarlos. ... Ciudad de 
México | Viernes 01 de julio de 2011 Redacción | El Universal14:27",http://www.eluniversal.com.mx/notas/776387.html
18 Mar 2012,ACCIONES DE RECICLAJE QUE DESARROLLAN CIUDADES ...,,"18 Mar 2012 ... Innovación México es un proyecto de Verde MX que lidera la construcción de ... 
sólidos, la Secretaría del Medio Ambiente del Gobierno del Distrito Federal 
realizó el pasado 4 de marzo. ... Reducen inundaciones ya que retienen buena 
parte del agua de lluvia en tormentas. ... Gustavo Rodriguez O. dice:.",https://www.sinembargo.mx/18-03-2012/182925
2 Jun 2012,Recibe DF lluvia de ligera a moderada | SinEmbargo MX,,"2 Jun 2012 ... México, 2 Jun. (Notimex).- La Secretaría de Protección Civil del Gobierno del 
Distrito Federal registró lluvia de ligera a moderada en algunas ...",https://www.sinembargo.mx/02-06-2012/252497
20 Jun 2012,Reportan 21 encharcamientos por lluvia en el DF | SinEmbargo MX,,"20 Jun 2012 ... La Secretaría de Protección Civil del Gobierno del Distrito Federal ... Gustavo A. 
Madero, Miguel Hidalgo, Iztapalapa, Tlalpan, Coyoacán y Magdalena Contreras. 
... Personal del Sistema de Aguas de la Ciudad de México (SACM), del ... calles, 
coladeras y alcantarillas para evitar inundaciones, mientras a ...",https://www.sinembargo.mx/20-06-2012/270650
16 Jun 2012,"""Carlotta"" deja saldo de dos víctimas en Oaxaca; se convierte en ...",,"16 Jun 2012 ... Asimismo, cerca de las 22:00 horas del viernes, la Comisión Federal de 
Electricidad ... de Oaxaca, Puebla, Morelos, Estado de México, Distrito Federal y 
Michoacán. ... la ocurrencia de precipitaciones, deslaves e inundaciones en 
zonas bajas y oleaje alto en zonas costeras. ... Por Gustavo De la Rosa.",https://www.sinembargo.mx/16-06-2012/266132
